text,intent
check connection in barangay 10!,request_maintenance
flood in barangay 11!,emergency_shutoff
now globe is down!!!,unrelated_internet
asap brown water in poblacion...,contaminated_water
stop water in barangay 11,emergency_shutoff
water gushing in capitan angel!,report_leak
asap no power!!!,unrelated_electricity
i want to eat?,unrelated_general
payment centers in barangay 7,payment_inquiry
how much is my bill urgent!,check_bill
smelly water in laguitas!,contaminated_water
brown water disappointed!,contaminated_water
water bill amount in capitan angel!,check_bill
now meter stolen!,broken_meter
emergency shutoff...,emergency_shutoff
now lagging internet,unrelated_internet
asap hardly any water in barangay 5!!!,low_pressure
brown water in sumpong,contaminated_water
stray dogs!!!,unrelated_general
garbage collection help!,unrelated_garbage
stray dogs please?,unrelated_general
meter stolen!!!,broken_meter
no water in barangay 5 please!!!,no_supply
help! broken pipe in can-ayan.,report_leak
interruption in barangay 7...,no_supply
brownout in barangay 7 now?,unrelated_electricity
how to pay.,payment_inquiry
complaint about bill...,bill_dispute
interruption in manalog unacceptable!,no_supply
disappointed unclear water...,contaminated_water
leak in indalasa urgent...,report_leak
flood in cabangahan.,emergency_shutoff
view balance asap!,check_bill
disappointed globe is down in kibalabag...,unrelated_internet
street lights not working in indalasa.,unrelated_road
no power in mapulo disappointed,unrelated_electricity
muddy water please!,contaminated_water
emergency shutoff in maligaya asap,emergency_shutoff
overcharged in managok asap...,bill_dispute
unacceptable traffic issue in poblacion.,unrelated_road
street lights not working help!...,unrelated_road
road repair disappointed,unrelated_road
help! weak water in indalasa!!!,low_pressure
asap check connection!,request_maintenance
asap request maintenance.,request_maintenance
payment centers,payment_inquiry
customer service in can-ayan!,reach_admin
now smelly garbage in bangcud?,unrelated_garbage
urgent weak water in barangay 10,low_pressure
meter issues in laguitas,broken_meter
broken pipe?,report_leak
smelly water in barangay 2...,contaminated_water
high bill in can-ayan asap,bill_dispute
apply for water please...,request_maintenance
trash not picked up!,unrelated_garbage
asap power outage!,unrelated_electricity
where to throw garbage,unrelated_garbage
smelly garbage in barangay 5...,unrelated_garbage
disappointed no power in poblacion,unrelated_electricity
please interruption in miglamin!!!,no_supply
low pressure,low_pressure
help! gcash payment in barangay 6.,payment_inquiry
dry tap.,no_supply
weak water.,low_pressure
check connection in barangay 4!!!,request_maintenance
loss of connection?,unrelated_internet
potholes!,unrelated_road
weak flow!!!,low_pressure
disappointed i want to eat in barangay 7...,unrelated_general
urgent hey in magsaysay...,greeting
waterless!!!,no_supply
hi!!!,greeting
customer service in capitan angel...,reach_admin
how much is my bill!!!,check_bill
view balance urgent?,check_bill
where to throw garbage in barangay 2!!!,unrelated_garbage
please contaminated,contaminated_water
street lights not working!,unrelated_road
talk to admin help!!,reach_admin
stuck meter in capitan angel,broken_meter
gcash payment in caburacanan!!!,payment_inquiry
stop water disappointed!!!,emergency_shutoff
asap weak water!,low_pressure
help! repair line in barangay 2!!!,request_maintenance
view balance!!!,check_bill
now where is the hospital in managok!!!,unrelated_general
hardly any water in barangay 7 disappointed!!!,low_pressure
meter stolen in st. peter...,broken_meter
no power!!!,unrelated_electricity
incorrect reading in casisang!,bill_dispute
loss of connection asap,unrelated_internet
good day in miglamin...,greeting
smelly water in barangay 11 help!.,contaminated_water
water cut,no_supply
road repair in sinanglanan!,unrelated_road
view balance in barangay 7?,check_bill
payment due in barangay 4,check_bill
street lights not working!,unrelated_road
hey in sinalac.,greeting
waste management!,unrelated_garbage
please water gushing in linabo?,report_leak
unacceptable waterless in barangay 2?,no_supply
help! check my bill?,check_bill
now online payment.,payment_inquiry
contaminated in poblacion urgent?,contaminated_water
weak water asap...,low_pressure
where to throw garbage in laguitas,unrelated_garbage
request maintenance in barangay 10!!!,request_maintenance
noise complaint in san jose.,unrelated_general
dry tap in barangay 7?,no_supply
flood asap!!!,emergency_shutoff
check my bill,check_bill
aqua help?,greeting
urgent massive leak emergency in can-ayan.,emergency_shutoff
help! good morning in linabo?,greeting
where to buy food now!,unrelated_general
massive leak emergency in mapulo disappointed!,emergency_shutoff
pizza delivery?,unrelated_general
asap overcharged.,bill_dispute
incorrect reading?,bill_dispute
asap contaminated in mapulo!!!,contaminated_water
disappointed poor pressure in barangay 10!,low_pressure
overcharged?,bill_dispute
urgent meter issues,broken_meter
interruption in st. peter!,no_supply
how to apply for a loan!!!,unrelated_general
garbage collection in barangay 3?,unrelated_garbage
disappointed request maintenance.,request_maintenance
weak water in barangay 8!!!,low_pressure
brownout.,unrelated_electricity
potholes in barangay 1 disappointed?,unrelated_road
pizza delivery!,unrelated_general
asap loss of connection?,unrelated_internet
please muddy water in casisang,contaminated_water
gcash payment in busdi,payment_inquiry
pipe leak?,report_leak
urgent meter issues?,broken_meter
wrong bill in st. peter.,bill_dispute
trash not picked up in barangay 10!!!,unrelated_garbage
talk to admin please,reach_admin
traffic issue in kulaman urgent.,unrelated_road
broken road?,unrelated_road
trash not picked up in barangay 11,unrelated_garbage
lagging internet in st. peter asap...,unrelated_internet
why no water in barangay 10.,no_supply
broken road please,unrelated_road
please where to buy food,unrelated_general
traffic issue!,unrelated_road
burst pipe in magsaysay!,report_leak
garbage collection in maligaya urgent?,unrelated_garbage
dry tap!,no_supply
apply for water please.,request_maintenance
slow connection in miglamin?,unrelated_internet
request maintenance in cabangahan!!!,request_maintenance
road repair in bangcud...,unrelated_road
massive leak emergency in capitan angel...,emergency_shutoff
flood in aglayan!!!,emergency_shutoff
how much is my bill in can-ayan!,check_bill
gcash payment in aglayan!,payment_inquiry
unclear water in st. peter...,contaminated_water
i want to eat in kulaman...,unrelated_general
contaminated in barangay 3?,contaminated_water
unacceptable weak flow in barangay 7.,low_pressure
garbage collection...,unrelated_garbage
where to buy food in san jose!!!,unrelated_general
hi!,greeting
hi help!!,greeting
please stop water in barangay 6.,emergency_shutoff
now new connection in mapulo!!!,request_maintenance
garbage collection urgent!,unrelated_garbage
poor pressure asap.,low_pressure
broken road disappointed.,unrelated_road
urgent unclear water!!!,contaminated_water
i want to eat in st. peter.,unrelated_general
when will power return in barangay 5 now...,unrelated_electricity
brownout in can-ayan...,unrelated_electricity
good day,greeting
unacceptable speak with someone?,reach_admin
asap water bill amount in can-ayan.,check_bill
low pressure urgent...,low_pressure
broken pipe?,report_leak
garbage collection in barangay 10.,unrelated_garbage
disappointed weak flow in kibalabag!,low_pressure
how much is my bill urgent!,check_bill
brownout asap?,unrelated_electricity
asap broken pipe in indalasa,report_leak
stop water in barangay 11!!!,emergency_shutoff
speak with someone in casisang.,reach_admin
flood urgent!!!,emergency_shutoff
contaminated in magsaysay.,contaminated_water
water gushing in san jose,report_leak
help! check connection in barangay 7.,request_maintenance
flood in barangay 3 disappointed!!!,emergency_shutoff
how to apply for a loan in sinalac now,unrelated_general
high bill in busdi asap...,bill_dispute
disappointed where to throw garbage...,unrelated_garbage
gcash payment in caburacanan,payment_inquiry
hey in manalog...,greeting
now high bill in barangay 6.,bill_dispute
how to pay in sumpong asap?,payment_inquiry
urgent broken pipe,report_leak
help please,reach_admin
water waste in manalog...,report_leak
garbage collection in barangay 9,unrelated_garbage
disappointed how to pay in casisang!,payment_inquiry
muddy water in zamboanguita...,contaminated_water
help! good day!!!,greeting
fibeco issue in kulaman...,unrelated_electricity
globe is down in manalog!!!,unrelated_internet
why no water in barangay 10 help!,no_supply
view balance help!...,check_bill
how to pay!,payment_inquiry
water gushing in sinanglanan.,report_leak
incorrect reading asap!,bill_dispute
please poor pressure in managok...,low_pressure
view balance.,check_bill
now view balance in laguitas!!!,check_bill
close valve in magsaysay!!!,emergency_shutoff
power outage in mapayag,unrelated_electricity
asap weak water...,low_pressure
weak water?,low_pressure
poor pressure?,low_pressure
stop water in barangay 8!!!,emergency_shutoff
meter stolen in sumpong?,broken_meter
weak water.,low_pressure
heavy traffic in capitan angel?,unrelated_road
heavy traffic in barangay 8...,unrelated_road
disappointed muddy water in barangay 5...,contaminated_water
payment due in indalasa!,check_bill
request maintenance in barangay 6!,request_maintenance
help please in barangay 5,reach_admin
how to apply for a loan in sinanglanan.,unrelated_general
online payment in busdi.,payment_inquiry
how to pay in miglamin unacceptable!!!,payment_inquiry
urgent lagging internet in barangay 3!!!,unrelated_internet
unacceptable payment centers in barangay 10!,payment_inquiry
my internet is slow in barangay 8?,unrelated_internet
lagging internet in sinalac!!!,unrelated_internet
water bill amount.,check_bill
loss of connection in poblacion.,unrelated_internet
asap online payment in barangay 6!!!,payment_inquiry
disappointed traffic issue in sumpong...,unrelated_road
unacceptable burst pipe!!!,report_leak
speak with someone in kibalabag!!!,reach_admin
payment centers!!!,payment_inquiry
brown water in barangay 10,contaminated_water
interruption in cabangahan?,no_supply
asap weak water in cabangahan!!!,low_pressure
no signal...,unrelated_internet
garbage collection in barangay 6.,unrelated_garbage
when will power return in barangay 9,unrelated_electricity
slow connection?,unrelated_internet
disappointed meter issues.,broken_meter
asap pizza delivery in bangcud!!!,unrelated_general
muddy water in silae.,contaminated_water
hardly any water...,low_pressure
unclear water in kulaman asap...,contaminated_water
waste management in can-ayan...,unrelated_garbage
stuck meter.,broken_meter
urgent interruption in barangay 11!!!,no_supply
no power in miglamin asap.,unrelated_electricity
no power in laguitas...,unrelated_electricity
new connection!!!,request_maintenance
meter stolen in miglamin?,broken_meter
please good morning...,greeting
hey,greeting
broken road,unrelated_road
unacceptable stuck meter in barangay 9.,broken_meter
waste management!!!,unrelated_garbage
asap no water in poblacion,no_supply
unacceptable repair line?,request_maintenance
smelly water?,contaminated_water
stop water in barangay 8 disappointed,emergency_shutoff
broken road,unrelated_road
where to throw garbage,unrelated_garbage
repair line in barangay 7?,request_maintenance
how to pay in barangay 9?,payment_inquiry
complaint about bill.,bill_dispute
urgent hi in cabangahan,greeting
broken pipe in zamboanguita?,report_leak
gcash payment in laguitas please!,payment_inquiry
gcash payment in indalasa now!!!,payment_inquiry
asap talk to admin!!!,reach_admin
customer service now!!!,reach_admin
now brownout...,unrelated_electricity
close valve in linabo!!!,emergency_shutoff
no electricity in barangay 4...,unrelated_electricity
water gushing.,report_leak
hello...,greeting
how much is my bill disappointed!!!,check_bill
my internet is slow in barangay 10 urgent.,unrelated_internet
street lights not working?,unrelated_road
flood in barangay 8 please.,emergency_shutoff
where to buy food in laguitas...,unrelated_general
dirty water in magsaysay?,contaminated_water
poor pressure in barangay 2?,low_pressure
massive leak emergency in cabangahan,emergency_shutoff
when will power return in capitan angel!!!,unrelated_electricity
help! no signal.,unrelated_internet
urgent contaminated in sumpong...,contaminated_water
where to pay in magsaysay,payment_inquiry
hardly any water in sinanglanan!!!,low_pressure
water bill amount...,check_bill
high bill in managok.,bill_dispute
speak with someone in st. peter please.,reach_admin
help! burst pipe in zamboanguita!,report_leak
brownout now...,unrelated_electricity
disappointed leakage in managok.,report_leak
low pressure in sumpong!!!,low_pressure
asap customer service in can-ayan?,reach_admin
speak with someone in st. peter!,reach_admin
meter issues...,broken_meter
low pressure in maligaya urgent.,low_pressure
meter stolen in barangay 8?,broken_meter
urgent no electricity...,unrelated_electricity
water gushing in sinalac...,report_leak
heavy traffic in barangay 6.,unrelated_road
trash not picked up...,unrelated_garbage
globe is down in sinanglanan...,unrelated_internet
speak with someone,reach_admin
high bill in magsaysay urgent?,bill_dispute
broken road in poblacion!,unrelated_road
no power!!!,unrelated_electricity
emergency shutoff in busdi asap!!!,emergency_shutoff
where to pay in barangay 10 urgent!,payment_inquiry
weak water urgent,low_pressure
unacceptable muddy water!!!,contaminated_water
waterless in cabangahan asap!,no_supply
waste management in sinalac!,unrelated_garbage
speak with someone in barangay 10,reach_admin
message support in linabo?,reach_admin
asap traffic issue?,unrelated_road
view balance!,check_bill
meter issues in st. peter,broken_meter
now water waste in sinalac...,report_leak
why no water in barangay 11.,no_supply
aqua help urgent.,greeting
brownout in barangay 9?,unrelated_electricity
leak in laguitas...,report_leak
aqua help in barangay 5 disappointed!!!,greeting
globe is down in laguitas disappointed!!!,unrelated_internet
help please in bangcud?,reach_admin
disappointed heavy traffic!,unrelated_road
pipe leak asap...,report_leak
please help please in linabo?,reach_admin
how to apply for a loan help!?,unrelated_general
stop water in kulaman.,emergency_shutoff
customer service in st. peter?,reach_admin
please waterless in barangay 7?,no_supply
muddy water in st. peter!,contaminated_water
message support asap!,reach_admin
asap stop water?,emergency_shutoff
water cut in barangay 7!,no_supply
stop water urgent.,emergency_shutoff
slow connection in san jose?,unrelated_internet
traffic issue in barangay 10.,unrelated_road
overcharged in kulaman?,bill_dispute
asap where to throw garbage?,unrelated_garbage
no wifi,unrelated_internet
interruption in barangay 4!,no_supply
no wifi in mapayag help!!!!,unrelated_internet
urgent pizza delivery in laguitas!!!,unrelated_general
leakage in st. peter.,report_leak
urgent broken meter!!!,broken_meter
help! garbage collection!,unrelated_garbage
how to pay!,payment_inquiry
unacceptable hardly any water in maligaya...,low_pressure
dirty water in barangay 1 urgent,contaminated_water
flood in sumpong now!,emergency_shutoff
hello in barangay 3 disappointed!!!,greeting
heavy traffic in barangay 3,unrelated_road
now flood in barangay 6!!!,emergency_shutoff
payment due?,check_bill
disappointed meter issues.,broken_meter
water cut in barangay 7 asap...,no_supply
disappointed defective water meter!!!,broken_meter
now globe is down in sinalac?,unrelated_internet
burst pipe.,report_leak
urgent contaminated in barangay 7...,contaminated_water
waste management in sinalac asap!,unrelated_garbage
burst pipe urgent.,report_leak
trash not picked up!,unrelated_garbage
payment centers in magsaysay?,payment_inquiry
now new connection in barangay 8.,request_maintenance
hello?,greeting
power outage in indalasa.,unrelated_electricity
new connection in barangay 3!,request_maintenance
dry tap in mapayag,no_supply
disappointed dirty water in indalasa!,contaminated_water
how much is my bill!!!,check_bill
road repair urgent...,unrelated_road
pipe leak in sinalac help!?,report_leak
smelly water in caburacanan!!!,contaminated_water
disappointed speak with someone in sumpong.,reach_admin
broken road in magsaysay?,unrelated_road
defective water meter in casisang now...,broken_meter
how much is my bill.,check_bill
where to buy food asap,unrelated_general
hey please!,greeting
meter stolen in miglamin unacceptable!!!,broken_meter
stop water in barangay 8 urgent.,emergency_shutoff
new connection,request_maintenance
stray dogs in sinanglanan,unrelated_general
talk to admin!!!,reach_admin
speak with someone in busdi,reach_admin
hello in barangay 8,greeting
check my bill in barangay 5!!!,check_bill
urgent payment centers in sinanglanan,payment_inquiry
speak with someone in aglayan!!!,reach_admin
incorrect reading?,bill_dispute
now weak water in caburacanan!!!,low_pressure
disappointed no power in san jose,unrelated_electricity
where to throw garbage in managok...,unrelated_garbage
smelly garbage unacceptable?,unrelated_garbage
emergency shutoff in barangay 11.,emergency_shutoff
disappointed view balance in linabo...,check_bill
weak water in kulaman urgent...,low_pressure
pizza delivery please.,unrelated_general
water gushing?,report_leak
message support in poblacion help!,reach_admin
payment centers in barangay 11!,payment_inquiry
noise complaint!,unrelated_general
broken meter,broken_meter
water bill amount please.,check_bill
hello,greeting
urgent waterless in can-ayan!!!,no_supply
broken road.,unrelated_road
traffic issue in bangcud now?,unrelated_road
where is the hospital in barangay 7,unrelated_general
hardly any water in kulaman help!...,low_pressure
disappointed unclear water in casisang,contaminated_water
no water in laguitas please...,no_supply
where to throw garbage in barangay 7!!!,unrelated_garbage
how to apply for a loan!,unrelated_general
good day in barangay 7,greeting
urgent heavy traffic?,unrelated_road
weak water in kulaman?,low_pressure
new connection in mapulo disappointed!!!,request_maintenance
asap view balance!!!,check_bill
flood in sinanglanan,emergency_shutoff
asap water cut.,no_supply
low pressure in barangay 8!,low_pressure
lagging internet!,unrelated_internet
slow connection in poblacion!,unrelated_internet
my internet is slow!!!,unrelated_internet
waste management in miglamin urgent...,unrelated_garbage
please aqua help in linabo,greeting
disappointed hardly any water in manalog.,low_pressure
hardly any water in barangay 9.,low_pressure
globe is down in aglayan!!!,unrelated_internet
water gushing disappointed!!!,report_leak
unacceptable trash not picked up in aglayan,unrelated_garbage
leak in barangay 5 unacceptable...,report_leak
unacceptable pizza delivery in silae,unrelated_general
hi...,greeting
overcharged in sinalac disappointed!,bill_dispute
loss of connection asap...,unrelated_internet
unclear water help!.,contaminated_water
pizza delivery in bangcud?,unrelated_general
weak water in mapulo.,low_pressure
flood in poblacion asap.,emergency_shutoff
disappointed payment due in miglamin?,check_bill
trash not picked up?,unrelated_garbage
please online payment!,payment_inquiry
how much is my bill in bangcud!!!,check_bill
traffic issue urgent?,unrelated_road
urgent waste management.,unrelated_garbage
urgent customer service in mapulo?,reach_admin
message support in barangay 10!,reach_admin
repair line in indalasa,request_maintenance
now pizza delivery in manalog.,unrelated_general
wrong bill in kibalabag disappointed.,bill_dispute
poor pressure in san jose!!!,low_pressure
smelly water in kibalabag help!,contaminated_water
now help please,reach_admin
muddy water,contaminated_water
speak with someone asap?,reach_admin
incorrect reading,bill_dispute
help please!!!,reach_admin
dirty water!,contaminated_water
new connection now!!!,request_maintenance
disappointed wrong bill in barangay 1!,bill_dispute
smelly water in busdi unacceptable,contaminated_water
good morning...,greeting
disappointed customer service in barangay 9?,reach_admin
defective water meter in kulaman disappointed,broken_meter
interruption in san jose?,no_supply
no power!!!,unrelated_electricity
globe is down in managok urgent!!!,unrelated_internet
payment centers help!...,payment_inquiry
where to throw garbage urgent...,unrelated_garbage
street lights not working,unrelated_road
why no water!,no_supply
message support in st. peter,reach_admin
overcharged in silae?,bill_dispute
trash not picked up in cabangahan please!!!,unrelated_garbage
complaint about bill in silae!!!,bill_dispute
please lagging internet in can-ayan.,unrelated_internet
incorrect reading help!.,bill_dispute
waste management disappointed?,unrelated_garbage
view balance!!!,check_bill
emergency shutoff in barangay 8 now!,emergency_shutoff
view balance in barangay 10!,check_bill
contaminated in miglamin please,contaminated_water
urgent incorrect reading,bill_dispute
water waste,report_leak
where to buy food in sumpong!,unrelated_general
i want to eat in barangay 5,unrelated_general
speak with someone in barangay 8 now.,reach_admin
muddy water in silae!!!,contaminated_water
please new connection in busdi,request_maintenance
broken pipe in can-ayan!!!,report_leak
check connection in silae disappointed!,request_maintenance
poor pressure in laguitas asap...,low_pressure
no power...,unrelated_electricity
how to pay!,payment_inquiry
fibeco issue in barangay 2.,unrelated_electricity
massive leak emergency!!!,emergency_shutoff
message support in can-ayan disappointed,reach_admin
asap street lights not working in mapayag!!!,unrelated_road
brownout in barangay 2...,unrelated_electricity
broken pipe in barangay 2...,report_leak
help! why no water...,no_supply
request maintenance!!!,request_maintenance
contaminated in silae,contaminated_water
fibeco issue in bangcud help!?,unrelated_electricity
low pressure please...,low_pressure
street lights not working in san jose...,unrelated_road
dirty water in capitan angel?,contaminated_water
meter stolen in busdi!,broken_meter
trash not picked up in linabo,unrelated_garbage
how much is my bill disappointed...,check_bill
high bill in cabangahan urgent!!!,bill_dispute
weak water in capitan angel,low_pressure
heavy traffic in barangay 6...,unrelated_road
now meter stolen!,broken_meter
smelly water in mapayag please,contaminated_water
how to apply for a loan in barangay 11 now,unrelated_general
massive leak emergency now!!!,emergency_shutoff
asap message support!!!,reach_admin
no power in barangay 11?,unrelated_electricity
customer service in barangay 7,reach_admin
please water gushing in caburacanan!,report_leak
message support in mapayag unacceptable!!!,reach_admin
disappointed no water in barangay 11,no_supply
leak in casisang,report_leak
power outage in san jose please?,unrelated_electricity
disappointed brownout in can-ayan,unrelated_electricity
stuck meter...,broken_meter
talk to admin...,reach_admin
massive leak emergency disappointed...,emergency_shutoff
weak flow,low_pressure
weak flow in sinalac,low_pressure
asap message support!,reach_admin
water bill amount in sinanglanan asap,check_bill
broken pipe,report_leak
payment due!!!,check_bill
online payment in barangay 1!,payment_inquiry
where is the hospital in barangay 8 now!,unrelated_general
asap incorrect reading in laguitas!,bill_dispute
pizza delivery...,unrelated_general
help please in linabo.,reach_admin
meter issues in busdi.,broken_meter
help! how much is my bill!!!,check_bill
repair line in can-ayan!!!,request_maintenance
talk to admin urgent.,reach_admin
pipe leak,report_leak
broken road in mapayag!,unrelated_road
view balance please?,check_bill
good day in miglamin...,greeting
water gushing please.,report_leak
aqua help in barangay 7!!!,greeting
now speak with someone in st. peter,reach_admin
muddy water in san jose,contaminated_water
new connection in barangay 1 unacceptable!,request_maintenance
urgent broken road?,unrelated_road
water waste in kulaman,report_leak
no power in barangay 2 asap?,unrelated_electricity
hey in zamboanguita unacceptable!!!,greeting
no electricity in sumpong!!!,unrelated_electricity
waterless in sinanglanan please...,no_supply
unacceptable flood,emergency_shutoff
overcharged.,bill_dispute
urgent smelly garbage,unrelated_garbage
disappointed broken road,unrelated_road
trash not picked up!!!,unrelated_garbage
repair line.,request_maintenance
dirty water please?,contaminated_water
view balance in sinalac...,check_bill
potholes now.,unrelated_road
unacceptable garbage collection in can-ayan,unrelated_garbage
high bill?,bill_dispute
asap high bill.,bill_dispute
water bill amount!,check_bill
message support in san jose!,reach_admin
complaint about bill in cabangahan help!?,bill_dispute
hardly any water in barangay 11...,low_pressure
smelly garbage urgent...,unrelated_garbage
weak water in mapulo!,low_pressure
defective water meter in barangay 10!,broken_meter
unclear water?,contaminated_water
message support in barangay 1,reach_admin
asap how to apply for a loan!!!,unrelated_general
where to pay in can-ayan?,payment_inquiry
noise complaint in barangay 8...,unrelated_general
asap heavy traffic!!!,unrelated_road
asap help please in can-ayan...,reach_admin
urgent stuck meter,broken_meter
stuck meter!!!,broken_meter
help please in mapayag unacceptable...,reach_admin
where is the hospital help!!,unrelated_general
smart is down in barangay 1 asap?,unrelated_internet
where to pay in bangcud?,payment_inquiry
disappointed wrong bill,bill_dispute
how to apply for a loan in miglamin?,unrelated_general
flood in miglamin!,emergency_shutoff
hello.,greeting
smelly water in can-ayan!!!,contaminated_water
now my internet is slow in caburacanan!,unrelated_internet
where to throw garbage in caburacanan!,unrelated_garbage
asap flood in mapulo?,emergency_shutoff
hey in sinalac?,greeting
help! road repair in busdi?,unrelated_road
asap loss of connection...,unrelated_internet
meter stolen in linabo,broken_meter
help! customer service in kibalabag!,reach_admin
broken pipe in san jose?,report_leak
message support in busdi!!!,reach_admin
massive leak emergency!,emergency_shutoff
unacceptable online payment in manalog.,payment_inquiry
online payment asap.,payment_inquiry
water bill amount,check_bill
unacceptable low pressure in barangay 11.,low_pressure
dry tap in manalog please?,no_supply
road repair in kibalabag disappointed.,unrelated_road
when will power return in poblacion please,unrelated_electricity
help please in manalog please?,reach_admin
now speak with someone in poblacion.,reach_admin
unclear water!,contaminated_water
now meter issues!!!,broken_meter
unclear water asap...,contaminated_water
hardly any water in mapayag!,low_pressure
asap meter issues in indalasa!!!,broken_meter
potholes in barangay 8...,unrelated_road
hardly any water in sinanglanan...,low_pressure
apply for water,request_maintenance
help! close valve in barangay 5?,emergency_shutoff
brown water help!?,contaminated_water
where to pay in capitan angel...,payment_inquiry
weak water.,low_pressure
traffic issue in magsaysay...,unrelated_road
how much is my bill in linabo...,check_bill
close valve in cabangahan.,emergency_shutoff
leak,report_leak
weak water in barangay 1 now?,low_pressure
where to throw garbage...,unrelated_garbage
unclear water in barangay 5!,contaminated_water
massive leak emergency?,emergency_shutoff
slow connection in barangay 1 now,unrelated_internet
please flood in cabangahan!,emergency_shutoff
please how to apply for a loan in barangay 7...,unrelated_general
wrong bill...,bill_dispute
now contaminated in kibalabag?,contaminated_water
pizza delivery please...,unrelated_general
water bill amount in barangay 10 disappointed?,check_bill
check connection.,request_maintenance
hi?,greeting
meter stolen in san jose.,broken_meter
trash not picked up in barangay 2.,unrelated_garbage
where to pay please,payment_inquiry
overcharged in linabo?,bill_dispute
waste management in mapayag?,unrelated_garbage
help! new connection in zamboanguita...,request_maintenance
apply for water in barangay 11!,request_maintenance
when will power return unacceptable!!!,unrelated_electricity
flood in manalog!,emergency_shutoff
water waste in barangay 3 please.,report_leak
pipe leak in barangay 6 help!!,report_leak
massive leak emergency in silae now!,emergency_shutoff
help! apply for water!,request_maintenance
help please...,reach_admin
wrong bill?,bill_dispute
no power urgent?,unrelated_electricity
now meter stolen!,broken_meter
potholes in sumpong!,unrelated_road
asap where to throw garbage?,unrelated_garbage
help! wrong bill in busdi,bill_dispute
customer service disappointed,reach_admin
message support in sinanglanan urgent,reach_admin
smelly water in busdi!!!,contaminated_water
traffic issue in barangay 8 urgent?,unrelated_road
no wifi disappointed...,unrelated_internet
low pressure?,low_pressure
asap why no water in barangay 7!,no_supply
help please in laguitas,reach_admin
talk to admin?,reach_admin
no power in barangay 5 please,unrelated_electricity
broken meter.,broken_meter
repair line in indalasa.,request_maintenance
defective water meter in barangay 1?,broken_meter
good morning asap?,greeting
talk to admin disappointed...,reach_admin
please stray dogs?,unrelated_general
slow connection in barangay 1!,unrelated_internet
meter stolen in barangay 2?,broken_meter
help! water cut,no_supply
help! noise complaint in laguitas!!!,unrelated_general
pipe leak in laguitas now...,report_leak
close valve?,emergency_shutoff
smelly water in kulaman disappointed!,contaminated_water
how to pay in barangay 11...,payment_inquiry
contaminated in mapulo help!...,contaminated_water
please broken road in barangay 10!,unrelated_road
no signal in barangay 4 asap?,unrelated_internet
check connection now,request_maintenance
asap hi.,greeting
urgent customer service...,reach_admin
how much is my bill in capitan angel,check_bill
view balance please?,check_bill
brownout?,unrelated_electricity
pipe leak in laguitas!!!,report_leak
help! low pressure in barangay 1...,low_pressure
unclear water.,contaminated_water
online payment in laguitas please.,payment_inquiry
help! waste management in magsaysay!!!,unrelated_garbage
flood in kibalabag.,emergency_shutoff
water bill amount in busdi!,check_bill
asap where to throw garbage...,unrelated_garbage
low pressure in mapulo,low_pressure
speak with someone,reach_admin
where to pay in can-ayan.,payment_inquiry
power outage in st. peter now?,unrelated_electricity
how to pay in magsaysay unacceptable.,payment_inquiry
how much is my bill in kibalabag?,check_bill
lagging internet?,unrelated_internet
fibeco issue in kibalabag!,unrelated_electricity
payment due!!!,check_bill
interruption unacceptable?,no_supply
help please now?,reach_admin
broken road in barangay 11 disappointed?,unrelated_road
complaint about bill?,bill_dispute
now low pressure...,low_pressure
brown water in linabo disappointed!,contaminated_water
garbage collection in maligaya!!!,unrelated_garbage
how to pay in sumpong...,payment_inquiry
poor pressure!!!,low_pressure
smart is down in mapayag now,unrelated_internet
urgent water waste!!!,report_leak
check my bill urgent.,check_bill
disappointed no electricity in barangay 2?,unrelated_electricity
disappointed emergency shutoff in barangay 7!!!,emergency_shutoff
water gushing in miglamin help!,report_leak
help please?,reach_admin
unacceptable close valve!!!,emergency_shutoff
incorrect reading in barangay 6 asap.,bill_dispute
hello!!!,greeting
disappointed poor pressure!,low_pressure
how to pay,payment_inquiry
lagging internet in casisang now...,unrelated_internet
repair line in mapayag,request_maintenance
high bill in barangay 11.,bill_dispute
now poor pressure in indalasa!,low_pressure
please new connection in can-ayan!!!,request_maintenance
asap high bill in bangcud,bill_dispute
talk to admin.,reach_admin
check connection in casisang...,request_maintenance
new connection in casisang urgent!,request_maintenance
burst pipe!,report_leak
disappointed leak in barangay 8.,report_leak
leakage in kulaman?,report_leak
disappointed pizza delivery!,unrelated_general
broken pipe in mapulo!,report_leak
defective water meter in caburacanan!!!,broken_meter
dirty water in can-ayan?,contaminated_water
traffic issue?,unrelated_road
now customer service in barangay 5?,reach_admin
no power in linabo!,unrelated_electricity
now weak flow in barangay 5.,low_pressure
payment due in sinanglanan!!!,check_bill
hardly any water in barangay 11...,low_pressure
help please unacceptable?,reach_admin
dry tap now!!!,no_supply
noise complaint,unrelated_general
water bill amount in st. peter.,check_bill
loss of connection!,unrelated_internet
urgent apply for water!!!,request_maintenance
waterless in barangay 6 help!!,no_supply
no power in linabo...,unrelated_electricity
broken pipe in sinalac now!,report_leak
waste management!!!,unrelated_garbage
how to apply for a loan!,unrelated_general
high bill!,bill_dispute
asap leak,report_leak
repair line in mapulo unacceptable,request_maintenance
emergency shutoff!,emergency_shutoff
aqua help in aglayan now!,greeting
disappointed where to pay in barangay 7...,payment_inquiry
please close valve in barangay 10!,emergency_shutoff
broken road in aglayan.,unrelated_road
slow connection!,unrelated_internet
